的	白勹丶
𧼽	走咼
𧼾	走刍心
𧼿	走幺{横三点}勹丶
𧽀	走目犬
𧽁	走丰刀廾
𧽂	走禾日
𧽃	走爫冉
𧽄	走角刂
𧽅	走廿⺃木
𧽆	走厂里
𧽇	{曳无丿}丿走己
𧽈	走己{曳无丿}丿
𧽉	走日宀女
𧽊	走山豆
𧽋	走烏
𧽌	走骨
𧽍	走直八
𧽎	走爫缶
𧽏	走臼丨又
𧽐	走虍文
𧽑	走疒矢
𧽒	走自犬
𧽓	走士口欠
𧽔	走宀石又
𧽕	走{春字头}禾
𧽖	走{留字头}田
𧽗	走丶{即字旁}阝
𧽘	走辰寸
𧽙	走馬
𧽚	走土口{衣省}
𧽛	走口貝
𧽜	走亽{倉字腰}口
𧽝	走{寒字腰}冉
𧽞	走正{与无横}灬
𧽟	走小隹
𧽠	走山隹
𧽡	走臣又土
𧽢	走{惠字头}寸
𧽣	走立早
𧽤	走覀示
𧽥	走鹿
𧽦	走{立无横}冂古
𧽧	走山宀示
𧽨	走爫見
𧽩	爿{然左角}寸走
𧽪	走鳥
𧽫	走口戈日
𧽬	走艹甫
𧽭	走土隹
𧽮	走戈口王
𧽯	走車斤
𧽰	走日罒丂
𧽱	走日皿{万无横}
𧽲	走田糸
𧽳	走{卧人}一隹
𧽴	走广咅
𧽵	走彳从龰
𧽶	走爫{爲字框}灬
𧽷	走肀{淵字边无一}一
𧽸	走厂䒑䶹欠
𧽹	走艹月月
𧽺	走厂禾禾
𧽻	走矛{𠕉字底}口
𧽼	走覀早
𧽽	走大丷日小
𧽾	走龷{青字底}攵
𧽿	走童
𧾀	走从从日
𧾁	走夭非
𧾂	走龺戈
𧾃	走䒑业日
𧾄	走隹辶
𧾅	走身{卧人}子
𧾆	走艹日月
𧾇	走覀大一龴
𧾈	走日罒万
𧾉	走日亠从十
𧾊	走癶豆
𧾋	走厶厶厶{全字头}{恭字底}
𧾌	走巳巳共
𧾍	走亠囗口旦
𧾎	走罒{同字心}{衣省}
𧾏	走僉
𧾐	走敫
𧾑	走辟
𧾒	走冫欠貝
𧾓	走夭非一
𧾔	走戊{同字心}心
𧾕	走目隹
𧾖	走山馬
𧾗	走艹日{禺字底}
𧾘	走{微字框无一}一几
𧾙	走亠{齊字腰}{齊字底}
𧾚	走{舆字头框}{与无横}丨八
𧾛	走⻀隹又
𧾜	走走走
𧾝	走{歺头}谷又
𧾞	走大戈口王
𧾟	走{竹头}隹
𧾠	走宀儿{全字头}{余字底}又
𧾡	走广里八土
𧾢	走小隹戈
𧾣	走{负字头}{见二}{全字头}目攵
𧾤	走丆{且无横}冖心夂
𧾥	走士罒貝
𧾦	走行韋
𧾧	走虍田心
𧾨	走宀丰罒心
𧾩	走{歺头}{谷字头}目又
𧾪	走立{青字底}{龍字边}
𧾫	走自宀儿{向字框}{见二}
𧾬	走林月攴
𧾭	夭止夭止夭止
𧾮	走{雨头}{龠字腰}
𧾯	走艹魚刂
𧾰	走羽田共
𧾱	走目目隹
𧾲	走艹臣{临右角}皿
𧾳	走山丰丰豆
𧾴	走⺽囟一火
𧾵	走目目隹又
𧾶	走丿虫丿虫丿虫
𧾷	{足旁}
𧾸	一足
𧾹	{足旁}⺃
𧾺	入足
𧾻	{足旁}丩
𧾼	{足旁}力
𧾽	{足旁}十
𧾾	{足旁}几
𧾿	{足旁}了
𧿀	足刂
𧿁	{足旁}兀
𧿂	{足旁}干
𧿃	尸足
𧿄	{足旁}丌
𧿅	{足旁}乛十
𧿆	{足旁}已
𧿇	{足旁}也
𧿈	{足旁}广
𧿉	{足旁}二⺃
𧿊	{足旁}一几
𧿋	{足旁}匸丨
𧿌	{足旁}丿七
𧿍	亼足
𧿎	{足旁}乛十
𧿏	{足旁}𭅲
𧿐	{足旁}千
𧿑	{足旁}弋
𧿒	{足旁}冖儿
𧿓	{足旁}{牙二}丨丶
𧿔	{足旁}乛{里无日}
𧿕	{足旁}化
𧿖	{足旁}凶
𧿗	{豕省}足
𧿘	{足旁}丿廾
𧿙	{足旁}元
𧿚	{足旁}分
𧿛	{足旁}从
𧿜	{足旁}丹
𧿝	{足旁}八丂
𧿞	{足旁}欠
𧿟	{足旁}一彑
𧿠	{足旁}一幺
𧿡	{足旁}犬
𧿢	{足旁}九力
𧿣	{足旁}丰
𧿤	{足旁}不
𧿥	{足旁}比
𧿦	{足旁}{卧人}几
𧿧	{足旁}斤
𧿨	{足旁}{反字框}又
𧿩	{足旁}介
𧿪	{足旁}䒑⺃
𧿫	{足旁}斗
𧿬	{足旁}屯
𧿭	{足旁}日
𧿮	足火
𧿯	{足旁}弓丨
𧿰	{足旁}廿
𧿱	{足旁}龷
𧿲	{足旁}𠂔
𧿳	{足旁}弗
𧿴	{足旁}末
𧿵	{足旁}甲
𧿶	{足旁}{卧人}也
𧿷	{足旁}玉
𧿸	{足旁}尸又
𧿺	{足旁}出
𧿻	{足旁}尸九
𧿼	{足旁}瓜
𧿽	{足旁}匚口
𧿾	{足旁}本
𧿿	此足
𨀀	{足旁}{全字头}小
𨀁	{足旁}龙
𨀂	石足
𨀃	{足旁}又土
𨀄	{足旁}瓦
𨀅	{足旁}冉
𨀆	{足旁}{叏字头}又
𨀇	{足旁}弓人
𨀈	{足旁}北
𨀉	{足旁}宀丁
𨀊	{足旁}乃子
𨀋	{足旁}亻士
𨀌	{足旁}另
𨀍	{足旁}用
𨀎	{足旁}立
𨀏	{足旁}旦
𨀐	{足旁}夂{冬字底}
𨀑	夕卜足
𨀒	{足旁}{左字框}巾
𨀓	{足旁}{尔字头}巳
𨀔	{足旁}冂土
𨀕	{足旁}匚王
𨀖	{足旁}亥
𨀗	{足旁}大㐄
𨀘	{足旁}羊
𨀙	{足旁}士口
𨀚	{足旁}上小
𨀛	{足旁}{在字框}子
𨀜	{足旁}冂{同字心}
𨀝	{足旁}又双
𨀞	{足旁}聿
𨀟	{足旁}广丿七
𨀠	{足旁}广干
𨀡	{足旁}{左字框}火
𨀢	{足旁}冂{井变}
𨀣	{足旁}{全字头}止
𨀤	{足旁}耒
𨀥	{足旁}冫欠
𨀦	{足旁}丰刀
𨀧	{足旁}氶一
𨀨	{足旁}巛夕
𨀩	{足旁}冎
𨀪	{足旁}曲
𨀫	{足旁}{卧人}亠几
𨀬	{足旁}{在字框}土
𨀭	{足旁}{反字框}十几
𨀮	{足旁}厶{青字底}
𨀯	{足旁}工阝
𨀰	{足旁}冫水
𨀱	{足旁}{寿字头}又
𨀲	曲足
𨀳	{足旁}亻戈
𨀴	{足旁}勹日
𨀵	{足旁}广土
𨀶	亠{亦字底}足
𨀷	{足旁}米
𨀸	{足旁}宀丿七
𨀹	{足旁}氵工
𨀺	{足旁}歹刂
𨀻	{足旁}戈{左字框}
𨀼	{足旁}老
𨀽	{足旁}口巾
𨀾	{足旁}氵女
𨀿	{足旁}一{亙无二}一
𨁀	亻丨攵足
𨁁	{足旁}{卧人}疋
𨁂	{足旁}大从
𨁃	{足旁}丷弓{弟省无弓}
𨁄	{足旁}日干
𨁅	{足旁}辛
𨁆	{足旁}{延字心}廴
𨁇	{足旁}天口
𨁈	{足旁}更
𨁉	{足旁}囗木
𨁊	{足旁}山今
𨁋	{足旁}豆
𨁌	{足旁}{那字旁}阝
𨁍	{足旁}見
𨁎	{足旁}口王
𨁏	{足旁}甫
𨁐	{足旁}{充字头}廾
𨁑	{足旁}八兄
𨁒	{足旁}{告字头}口
𨁓	{足旁}丿丬匕⺃
𨁔	{足旁}亻乍
𨁕	{足旁}丶廾⺀丶
𨁖	{足旁}谷
𨁗	{足旁}壬廴
𨁘	扌止足
𨁙	{足旁}{免五}儿
𨁚	{足旁}宀元
𨁛	求足
𨁜	{足旁}扌夫
𨁝	{足旁}{索字头}子
𨁞	{足旁}目匕
𨁟	{足旁}我
𨁠	{足旁}丿廾土
𨁡	{足旁}爫女
𨁢	釆足
𨁣	{足旁}夂火
𨁤	{足旁}广木
𨁥	木土足
𨁦	{足旁}王廾
𨁧	{足旁}山内
𨁨	{足旁}犭王
𨁩	{足旁}扌巴
𨁪	{足旁}酉
𨁫	{足旁}里
𨁬	{足旁}亻申
𨁭	{足旁}女少
𨁮	{足旁}文口
𨁯	{足旁}土{亦字底}
𨁰	{足旁}口欠
𨁱	{足旁}尸毛
𨁲	{足旁}邑
𨁳	{足旁}{叚右角}⺃方
𨁴	{足旁}门日
𨁵	{足旁}广亻寸
𨁶	{足旁}亞
𨁷	{足旁}直
𨁸	{足旁}户犬
𨁹	{足旁}火火
𨁺	{足旁}{具字头}八
𨁻	{足旁}𠫓木
𨁼	{足旁}大十廾
𨁽	{足旁}旦寸
𨁾	{足旁}止龰
𨁿	{足旁}豕丶
𨂀	{足旁}阝且
𨂁	{足旁}大电
𨂂	{足旁}{然左角}火
𨂃	{足旁}月月
𨂄	{足旁}亻土寸
𨂅	{足旁}㡀
𨂆	{足旁}勹缶
𨂇	{足旁}戶止
𨂈	{足旁}日王
𨂉	{足旁}厂圭
𨂊	{足旁}{周字框}土口
𨂋	{足旁}斉
𨂌	{足旁}定
𨂍	{足旁}大丷亏
𨂎	{足旁}雨
𨂏	{足旁}廿木
𨂐	{足旁}{木框}从
𨂑	{足旁}虍人
𨂒	{足旁}亠亻{夜下角}
𨂓	{足旁}乛{里无日}乛{里无日}
𨂔	{足旁}{充字头}{青字底}
𨂕	{足旁}林
𨂖	{足旁}氵立
𨂗	{足旁}子瓜
𨂘	{足旁}爫壬
𨂙	{足旁}京
𨂚	{足旁}丷共
𨂛	{足旁}大丷干
𨂜	{足旁}虎
𨂝	䒑业足
𨂞	足䒑业
𨂟	{足旁}{卧人}𡈼儿
𨂠	{足旁}頁
𨂡	{足旁}{春字头}天
𨂢	{即字旁}卩足
𨂣	矛攵足
𨂤	{足旁}至攵
𨂥	{足旁}宀各
𨂦	{足旁}彑{豕省}
𨂧	{足旁}土羊
𨂨	{足旁}大羊
𨂩	{足旁}癶殳
𨂪	{足旁}文厂彡
𨂫	{足旁}广䒑䶹
𨂬	{索字头}田足
𨂭	{足旁}龶母
𨂮	亼{曾字头无丷}足
𨂯	{足旁}亻更
𨂰	{足旁}丰刀大
𨂱	{足旁}冖車
𨂲	{足旁}尸丷开
𨂳	{足旁}弓弓{共字底}
𨂴	{足旁}勹{横两撇}丶心
𨂵	{足旁}千臼
𨂶	{足旁}虍巾
𨂷	{足旁}厂里
𨂸	{足旁}亻{候右角}矢
𨂹	{足旁}刀田刀
𨂺	{足旁}{变字头}弓
𨂻	{足旁}爫丨日
𨂼	{足旁}豸{飞无折}
𨂽	{足旁}石水
𨂾	{足旁}十{身字框}{南字心}
𨃀	{足旁}束丷
𨃁	{足旁}耳才
𨃂	{足旁}戊{同字心}
𨃃	{足旁}曷
𨃄	{足旁}田一{畏字底}
𨃆	{足旁}月瓜
𨃇	{足旁}{美字头}女
𨃈	{足旁}共巳
𨃉	{足旁}彳土寸
𨃊	{足旁}占灬
𨃋	{足旁}艹亠巾
𨃌	{足旁}扌土寸
𨃍	{足旁}穴犬
𨃎	{足旁}{临字旁}又皿
𨃏	{足旁}亻彐冖又
𨃐	{足旁}艹厶口
𨃑	{足旁}扌儿{率字腰}
𨃒	{足旁}刀冂{举字底}力
𨃓	{足旁}艹{全字头}朩
𨃔	{足旁}自木
𨃕	{足旁}亠幺田
𨃖	{足旁}艹大亏
𨃗	月龹足
𨃘	{足旁}勹䶹勹䶹
𨃙	{足旁}覀木
𨃚	{足旁}艹合
𨃛	{足旁}阝辛
𨃜	{足旁}亻丨夂朩
𨃝	{足旁}彳走
𨃞	舟殳足
𨃟	{足旁}舟殳
𨃠	{足旁}唐
𨃡	{足旁}自心
𨃢	女束足
𨃣	{足旁}又丶虫
𨃤	{足旁}高
𨃥	{足旁}舛木
𨃦	{足旁}夭十廾
𨃧	{足旁}{左字框}口冂口
𨃨	尸{展字心}足
𨃩	{足旁}户羽
𨃪	{足旁}龹手
𨃫	亻至刂足
𨃬	{足旁}{追字心}辶
𨃭	{足旁}{载字框}木
𨃮	{足旁}歹刂木
𨃯	{足旁}日土寸
𨃰	{足旁}䒑{聿三}{兼无䒑无彐}
𨃱	立立足
𨃲	{畫字头}日足
𨃳	{足旁}厶{青字底}匕匕
𨃴	{足旁}骨
𨃵	{足旁}月关
𨃶	{足旁}木各
𨃷	{足旁}礻兄
𨃸	{足旁}立{龟字底}
𨃹	{足旁}氵丶艮
𨃺	{足旁}幺{横三点}内
𨃻	{足旁}歹刂灬
𨃼	{足旁}礻乍
𨃽	{足旁}辰寸
𨃾	禾{尔字头}小足
𨃿	{足旁}巳巳开
𨄀	{足旁}广彐龰
𨄁	{足旁}耳冖儿
𨄂	{足旁}丶{即字旁}阝
𨄃	{足旁}豕辶
𨄄	{足旁}{变字头}心
𨄅	{足旁}匚口吅
𨄆	{足旁}{卧人}旦{黎右角}丿
𨄇	{足旁}龹氺
𨄈	{足旁}氵刀{横两点}木
𨄉	{足旁}文厂生
𨄊	{足旁}祭
𨄋	{足旁}尸雨
𨄌	{足旁}羽白
𨄍	{足旁}山隹
𨄎	{足旁}其土
𨄏	{足旁}覀示
𨄐	{足旁}此糸
𨄑	{足旁}勹{同字心}田
𨄒	{足旁}宀耳又
𨄓	{足旁}巛果
𨄔	{足旁}一由厶寸
𨄕	{足旁}{旅字框}矢
𨄖	{足旁}扌禾女
𨄗	{足旁}广{隶字框}{率字腰}
𨄘	{足旁}大丷土口
𨄙	{足旁}鳥
𨄚	爿{然左角}寸足
𨄛	{足旁}{癶左半}{祭右角}人氺
𨄜	{足旁}{婁字头}女
𨄝	矛夂力足
𨄞	{足旁}束辶
𨄟	土隹足
𨄠	{足旁}釆心
𨄡	{享字头}子丸足
𨄢	{足旁}亠幺冖牛
𨄣	{足旁}大从夊
𨄤	{足旁}小隹
𨄥	{足旁}虍乊{于无横}
𨄦	彳从龰足
𨄧	土八土丸足
𨄨	{足旁}敖
𨄩	{足旁}{同字心}田刂
𨄪	{足旁}{反字框}虍巾
𨄫	{足旁}亼舟刂
𨄬	麻足
𨄭	{足旁}广{叚右角}{临字旁}厶厶
𨄮	{足旁}亠幺{率字腰}十
𨄯	尸示寸足
𨄰	{足旁}弓長
𨄱	{足旁}田糸
𨄲	{足旁}吕丨心
𨄳	{足旁}艹甫
𨄴	{足旁}土{南字心}丸
𨄵	{足旁}忄{卢字头}早
𨄶	{足旁}{美字头}丶{永无点}
𨄷	{足旁}{大框}爻爻
𨄸	{足旁}日扌斤
𨄹	{足旁}{告字头}口辶
𨄺	{足旁}土隹
𨄻	{足旁}宀一由八
𨄼	{足旁}禾多
𨄽	{足旁}阝{负字头}臼
𨄾	{足旁}宀大可
𨄿	{足旁}幺{横三点}夂{冬字底}
𨅀	{足旁}米立
𨅁	{足旁}{竹头}立
𨅂	{足旁}不見
𨅃	{足旁}山宀示
𨅄	{足旁}車欠
𨅅	{足旁}止扌支
𨅆	{足旁}大丷圭
𨅇	口亠从十足
𨅈	{足旁}艹{至字头}木
𨅉	{足旁}丶{即字旁}月
𨅊	{足旁}{充字头}{青字底}攵
𨅋	{足旁}肀{淵字边无一}一
𨅌	{足旁}爫{爲字框}灬
𨅍	{足旁}門日
𨅎	{足旁}日耳又
𨅏	{足旁}山風
𨅐	{舞字头}灬足
𨅑	{足旁}彡頁
𨅒	{足旁}壴寸
𨅓	{足旁}大者
𨅔	{足旁}旡旡日
𨅕	{足旁}夫夫日
𨅖	{足旁}龷{青字底}攵
𨅗	{足旁}{竹头}聿
𨅘	壴彡足
𨅙	{足旁}{立无横}冖巾口
𨅚	敖足
𨅛	{足旁}尸丿口{禺字底}
𨅜	{足旁}田共
𨅝	{足旁}{尚头}牙
𨅞	{足旁}{竹头}合
𨅟	{足旁}覀二火
𨅠	釒欠足
𨅡	{足旁}弓工工口
𨅢	{足旁}龷方攵
𨅣	{足旁}土土土土
𨅤	{足旁}其{青字底}
𨅥	{足旁}非心
𨅦	{足旁}从从日
𨅧	{足旁}{尔字头}厂儿工口
𨅨	{足旁}{尚头}木
𨅩	{足旁}先亠日
𨅪	牙牙足牙
𨅫	{足旁}麦去
𨅬	{足旁}门束丷
𨅭	{足旁}覀早
𨅮	{足旁}者阝
𨅯	{足旁}艹{簔字底心}十
𨅰	{足旁}木了口又一
𨅱	{足旁}艹屯日
𨅲	{足旁}而而
𨅳	{足旁}夭口𠕁
𨅴	釆田足
𨅵	{足旁}彐彐羽
𨅶	{足旁}厶厶厶{全字头}{恭字底}
𨅷	{足旁}阝丷豕
𨅸	{足旁}{竹头}土寸
𨅹	{足旁}龺月
𨅺	{足旁}乛耳攵
𨅻	{足旁}穴{告字头}口
𨅼	{足旁}艹{木框}从
𨅽	{足旁}門木
𨅾	{足旁}木林
𨅿	{足旁}走戉
𨆀	{足旁}門月
𨆁	{足旁}亠囗口旦
𨆂	{足旁}夭非一
𨆃	{足旁}林示
𨆄	{足旁}林疋
𨆅	{足旁}罒土{南字心}
𨆆	{足旁}支頁
𨆇	{足旁}門甲
𨆈	{足旁}罒{同字心}{衣省}
𨆉	{足旁}{尚头}田
𨆊	壴支足
𨆋	{足旁}{美字头}我
𨆌	{足旁}火頁
𨆍	{足旁}艹曷
𨆎	{足旁}貝戈{左字框}
𨆏	{足旁}丷豕辶
𨆐	{足旁}龹足
𨆑	{足旁}{竹头}足
𨆒	{足旁}氵隹十
𨆓	{足旁}{全字头}㐫禸
𨆔	{足旁}咼辶
𨆕	十{身字框}{南字心}犬足
𨆖	{足旁}{雨头}今丶
𨆗	{足旁}丿囗釆丂
𨆘	{足旁}僉
𨆙	{足旁}王王心丿
𨆚	{足旁}大𠮛羽
𨆛	{足旁}{反字框}十目辶
𨆜	火頁足
𨆝	{足旁}亼{曾字头无丷}日
𨆞	{足旁}曲辰
𨆟	{足旁}艹𡈼旦
𨆠	{足旁}艹癶天
𨆡	{足旁}艹廿⺃木
𨆢	{足旁}{雨头}田
𨆣	{足旁}艹日{禺字底}
𨆤	{足旁}君羊
𨆥	扌口貝足
𨆦	{足旁}{竹头}貝
𨆧	車至足
𨆨	{足旁}{贵字头}貝⺃
𨆩	{足旁}户{扁字心}辶
𨆪	車一巛工足
𨆫	{足旁}{索字头}田疋
𨆬	足足足
𨆭	{足旁}白宀儿方
𨆮	{足旁}耒龷日
𨆯	{足旁}亻业{养字头}
𨆰	{足旁}日幺幺灬
𨆱	{足旁}冫馬几
𨆲	{足旁}爫工彐心
𨆳	{足旁}艹阝辛
𨆴	{足旁}火火舛
𨆵	{足旁}皮頁
𨆶	{足旁}{落字框}甫
𨆷	{足旁}业{美字头}寸
𨆸	{足旁}原心
𨆹	{足旁}{辛旁}束
𨆺	{足旁}氵覀示
𨆻	氵廿巾{入入}足
𨆼	{足旁}厂壴寸
𨆽	{足旁}麻丿厶
𨆾	{足旁}宀祭
𨆿	{足旁}門各
𨇀	{足旁}{贵字头}㠯辶
𨇁	{足旁}广龷由八
𨇂	{足旁}彳{充字头}{青字底}攵
𨇃	{足旁}夫夫貝
𨇄	{足旁}丆{且无横}冖心夂
𨇅	{足旁}日共氺
𨇆	{足旁}厂艹日{禺字底}
𨇇	{足旁}龷灬貝
𨇈	{足旁}{索字头}田厶龰
𨇉	{足旁}山大丷日小
𨇊	{足旁}彳夭口冂口
𨇋	{足旁}亻仌仌一月
𨇌	木戊上小足
𨇍	{足旁}夫夫車
𨇎	{足旁}厂里{全字头}王
𨇏	{足旁}亻仌仌丆工
𨇐	舟頁足
𨇑	{足旁}罒厶{青字底}匕匕
𨇒	{足旁}石石石
𨇓	亻僉足
𨇔	{足旁}幺幺一幺幺凵
𨇕	{足旁}彳夭口𠕁
𨇖	{足旁}虍田皿
𨇗	{足旁}厂禾禾止
𨇘	立{青字底}{龍字边}足
𨇙	{足旁}行{韋字头}口一巾
𨇚	{足旁}臼人貝
𨇛	足者見
𨇜	者見足
𨇝	{足旁}門{负字头}臼
𨇞	{足旁}麥去
𨇟	{足旁}廿口{北字旁}匕灬
𨇠	{足旁}厂黒土
𨇡	{足旁}門日日
𨇢	{足旁}麻石
𨇣	{足旁}臣{临右角}見
𨇤	{足旁}魚羊
𨇥	{足旁}{寒字头}足
𨇦	{足旁}从戈非一
𨇧	{足旁}門千臼
𨇨	{足旁}艹{追字心}辛
𨇩	{足旁}{免五}比兔
𨇪	{足旁}隹頁
𨇫	{足旁}{舆字头框}冂{同字心}八㔾
𨇬	{足旁}旦釒欠
𨇭	广土{南字心}艮足
𨇮	{足旁}門䒑䶹欠
𨇯	{足旁}隹隹又
𨇰	{足旁}幺幺一幺幺⺃斤
𨇱	{足旁}自穴方辶
𨇲	{足旁}門爫臼
𨇳	{足旁}一八巾爻爻尢丶
𨇴	{足旁}⺽囟大㔾
𨇵	{足旁}土土土兀多
𨇶	{足旁}穴敫
𨇷	{足旁}禾女鬼
𨇸	{足旁}{竹头}旡旡日
𨇹	{足旁}亠乡隹瓦
𨇺	{足旁}爫罒{即字旁}寸
𨇻	{足旁}麻非
𨇼	{足旁}龻
𨇽	{足旁}罒幺{横三点}隹
𨇾	{足旁}言火火火
𨇿	{足旁}艹{㒳字框}幺{横三点}虫
𨈀	{足旁}直八頁
𨈁	{足旁}{竹头}耒龷日
𨈂	{足旁}隹又隹又
𨈃	{足旁}直八直八
𨈄	{足旁}十戈止{齒字底}
𨈅	{足旁}艹亼{龠字腰}{扁字心}
𨈆	{足旁}艹門束丷
𨈇	{足旁}臣{临右角}罒見
𨈈	{足旁}田田田冖且
𨈉	{足旁}⻀丆目止巳八夂
𨈊	{足旁}龻弓
𨈋	{足旁}{竹头}亼{龠字腰}{扁字心}
𨈌	{足旁}龻心
𨈍	{足旁}貝貝隹又
𨈎	{足旁}龻鳥
𨈏	{向字框}亠
𨈐	{向字框}一丿
𨈑	{向字框}三
𨈒	身卜
𨈓	身小
𨈔	身凡
𨈕	身阝
𨈖	身口
𨈗	口身
𨈘	身少
𨈙	身攴
𨈚	身比
𨈛	身支
𨈜	身{身字框}二
𨈝	身丹
𨈞	身卩又
𨈟	身戈
𨈠	身爻
𨈡	身攵
𨈢	身亠几
𨈣	身尢丶
𨈤	身元
𨈥	身毛
𨈦	身仌
𨈧	身弓丨
𨈨	身{卧人}几
𨈩	身友丶
𨈪	身只
𨈫	身主
𨈬	身{丘无横}一
𨈭	身冉
𨈮	身申
𨈯	身乃子
𨈰	身古
𨈱	身旦
𨈲	身八亏
𨈳	身句
𨈴	身丷口
𨈵	身皮
𨈶	身母
𨈷	身宀匕
𨈸	身舌
𨈹	身冂{同字心}
𨈺	身老
𨈻	身自
𨈼	身女小
𨈽	身关
𨈾	身丷开
𨈿	合身
𨉀	身大㐄
𨉁	身光
𨉂	身口一⺃
𨉃	亻壬身
𨉄	身丿冂{举字底}
𨉅	身人一丌
𨉆	身{尔字头}巴
𨉇	身火人
𨉈	身壬廴
𨉉	身比土
𨉊	身比大
𨉋	身八兄
𨉌	身足
𨉍	身白八
𨉎	身辰
𨉏	身{免五}儿
𨉐	身我
𨉑	身口王
𨉒	身巛火
𨉓	身亼内
𨉔	身{卢字头}早
𨉕	身户犬
𨉖	門身
𨉗	身宀玉
𨉘	身斤辶
𨉙	身戈歹
𨉚	身大电
𨉛	身口矢
𨉜	身{周字框}土口
𨉝	身宀夕㔾
𨉞	身土八夂
𨉟	身亼口卩
𨉠	身扌半
𨉡	身垂
𨉢	身𡈼旦
𨉣	身叚
𨉤	身白王
𨉥	身面
𨉦	身骨
𨉧	身戊歹
𨉨	身{段字旁}殳
𨉩	身{春字头}日
𨉪	身曷
𨉫	身勹吕
𨉬	身{亮字头}丁
𨉭	身{眉字框}目
𨉮	身囟比
𨉯	身⺽丄⺃
𨉰	身丶艮阝
𨉱	身弓冫弓冫
𨉲	身高
𨉳	身公羽
𨉴	身艹耳
𨉵	身鬼
𨉶	身{差字头}工
𨉷	身宀谷
𨉸	身馬
𨉹	身囗戈口一
𨉺	身分貝
𨉻	身車欠
𨉼	身一{亜无一}心
𨉽	身囗王王
𨉾	身{竹头}目
𨉿	身而而
𨊀	身目目丁
𨊁	身老老
𨊂	身黑
𨊃	釆田身
𨊄	身釆田
𨊅	身土土土兀
𨊆	身老至
𨊇	身龷由八
𨊈	身覀早
𨊉	身毛毛毛
𨊊	身宀女士口
𨊋	身罒貝
𨊌	身米舛
𨊍	身{尔字头}厂八言
𨊎	身宀工皿丁
𨊏	身龹言
𨊐	身咼辶
𨊑	身一田一田一
𨊒	身罒勹虫
𨊓	身宀心皿丁
𨊔	身臣{临右角}皿
𨊕	身宀一{步字底}貝
𨊖	身尸{婁字头}女
𨊗	身{尔字头}厂比工口
𨊘	身匚口吅心
𨊙	身艹戊臣
𨊚	身石石石
𨊛	身厂禾禾止
𨊜	身老老毛
𨊝	身車斤足
𨊞	身耳耳耳
𨊟	龻身
𨊠	車㔾
𨊡	車丁
𨊢	土日厶
𨊣	車卜
𨊤	車人
𨊥	車凵
𨊦	{左字框}車
𨊧	車工
𨊨	車彡
𨊩	車巛
𨊪	車{至字头}
𨊫	車一{可字框}
𨊬	{尔字头}一車
𨊭	車寸
𨊮	車与
𨊯	車丿七
𨊰	車{卧人}乛
𨊱	車一{于无横}
𨊲	車己
𨊳	車心
𨊴	車攵
𨊵	車勹厶
𨊶	車冖几
𨊷	車勹二
𨊸	車月
𨊹	車巴
𨊺	車止
𨊻	車开
𨊼	車尹
𨊽	車父
𨊾	車冂乂
𨊿	車又又
𨋀	車乛{里无日}
𨋁	車卩又
𨋂	車分
𨋃	車及
𨋄	車冖儿
𨋅	比車
𨋆	車一彑
𨋇	車一幺
𨋈	車水
𨋉	水車
𨋊	車{黎右角}丿
𨋋	車予
𨋌	車双
𨋍	車厶儿
𨋎	車{尔字头}小
𨋏	車{全字头}小
𨋐	車瓦
𨋑	工几車
𨋒	車厶廾
𨋓	車石
𨋔	車玉
𨋕	車{卬字旁}卩
𨋖	車卯
𨋗	車尸匕
𨋘	車乍
𨋙	車申
𨋚	車尸又
𨋛	車尢力
𨋜	車{后字框}㔾
𨋝	車工力
𨋞	車{左字框}巾
𨋟	禾車
𨋠	車宀几
𨋡	出車
𨋢	車立
𨋣	車一内
𨋤	車{卢字头}尸
𨋥	車弗
𨋦	車{向字框}又
𨋧	白車
𨋨	車艮
𨋩	車亻犬
𨋪	車夂㐄
𨋫	車儿{率字腰}
𨋬	氶一車
𨋭	車{尔字头}巴
𨋮	車勹日
𨋯	車{曳无丿}丿
𨋰	車冫欠
𨋱	車丿㠯
𨋲	車冫水
𨋳	車囗大
𨋴	車宀女
𨋵	車{丙三}{木无横}
𨋶	車亻王
𨋷	車工工
𨋸	車夹
𨋹	車冂{网字心}
𨋺	臼車
𨋻	車爫又
𨋼	車人斗
𨋽	車羊
𨋾	車羽
𨋿	厶厶冖車
𨌀	車耳
𨌁	車匕日
𨌂	車山王
𨌃	車犭王
𨌄	爿士車
𨌅	{美字头}丿車
𨌆	車宀{左字框}厶
𨌇	車豕
𨌈	車身
𨌉	車口{青字底}
𨌊	車宀夕一
𨌋	車户口
𨌌	車{后字框}巴
𨌍	車辛
𨌎	車{全字头}{余字底}
𨌏	{举字底}戈車
𨌐	車麦
𨌑	車辰
𨌒	車{告字头}口
𨌓	車白八
𨌔	車丷兄
𨌕	車人心丿
𨌖	車夂月
𨌗	出冖車
𨌘	車厶八夂
𨌙	車𠫓{荒字底}
𨌚	車宀牛
𨌛	車束
𨌜	{免五}儿車
𨌝	車入丿廾丶
𨌞	車去卩
𨌟	車广木
𨌠	車彑氺
𨌡	車乛匚一丨{叚右角}
𨌢	車爫{争字底}
𨌣	車艹内
𨌤	亠舛車
𨌥	王車王
𨌦	車田丿十
𨌧	車大电
𨌨	車勹缶
𨌩	車尚
𨌪	車公心
𨌫	車龹㔾
𨌬	車{卢字头}早
𨌭	車水日
